구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,91842190,26030427,65811763,0,21346955,15741897,5605058,70495235,200,24460039,0,0,32138857,19712517,12426340,7727027,4699313,5699055,4739420,0,0,0,14.62,14.75,41.78,-4.39,흑전,3.11,165.36,30.28,0,38.66,0.41,8.65,8.72,6.06,6.11,224,3776,58.24,3.46,8.59,33.50,11.87,67.93,38.93,10420294,-10196667,212548
2010,118962359,21430231,97532128,0,18865321,11121452,7743870,100097038,200,28888093,0,0,72469415,41891968,30577447,10658665,19918782,19359337,15934842,0,0,0,27.49,21.99,0,0,0,29.05,192.69,18.85,0,42.19,0,0,0,0,0,638,4222,31.81,4.81,6.99,28.69,0,25.68,23.62,10278046,-28361937,8851901
2011,151828611,45953757,105874854,0,13300426,11377336,1923091,138528185,200,29392370,0,0,129440287,76280731,53159557,13821709,39337848,35065308,34567623,0,0,0,30.39,26.71,78.61,97.49,116.93,149.66,403.91,9.60,0,41.07,0.96,32.97,28.97,29.05,25.53,1181,5457,21.51,4.65,5.74,19.54,36.65,18.98,17.43,37186946,-15599316,-6291588
2012,198525741,89126837,109398905,0,15939216,13759677,2179539,182586526,200,29392370,0,0,143831541,84243396,59588145,17926481,41661664,42942263,41921380,0,0,0,28.97,29.15,11.12,5.91,21.27,645.55,647.74,8.73,0,41.43,0.82,25.95,26.11,23.78,23.93,1426,6956,14.93,3.06,4.35,13.12,35.50,15.03,13.19,51438205,-54332809,-3382275
2013,246519827,97543135,148976691,0,21511121,12081021,9430100,225008706,200,29392370,0,0,68627902,43889546,24738356,8009283,16729073,18690914,31066330,0,0,0,24.38,45.27,-52.29,-59.85,-25.89,122.74,807.41,9.56,0,36.05,0.31,8.21,15.24,7.52,13.96,1044,8078,18.20,2.35,8.14,14.61,10.85,33.95,23.39,40691182,-40326650,-867280
2014,199596910,80416104,119180806,0,51679315,38934716,12744599,147917595,200,17384600,0,0,58210488,39822121,18388367,12716374,5671992,7826526,41170289,0,0,0,9.74,70.73,-15.18,-66.09,32.52,52.80,206.54,34.94,0,31.59,0.26,3.04,22.08,2.54,18.46,1411,8899,7.90,1.25,5.62,6.47,5.21,59.41,22.72,17717318,26321915,-477514
2015,218537696,50826276,167711420,0,35858691,18760235,17098455,182679005,200,22718501,0,0,51429078,31769431,19659648,10091226,9568421,11139506,-17143477,0,0,0,18.61,-33.33,-11.65,68.70,적전,324.61,270.93,19.63,0,38.23,0.25,5.79,-10.37,4.58,-8.20,-586,8509,0,1.23,4.24,0,10.93,25.50,15.50,11836122,-12792046,-24735919
2016,183494385,46540793,136953592,0,16566672,14064241,2502431,166927713,200,22718501,0,0,42828124,30048823,12779301,7426940,5352361,7911518,-16655705,0,0,0,12.50,-38.89,-16.72,-44.06,적지,172.80,330.92,9.92,0,29.84,0.21,3.06,-9.53,2.66,-8.29,-328,8253,0,1.05,4.58,0,6.50,35.79,17.97,8159500,-23634050,-562500
2017,182028712,48039943,133988769,0,6430488,4847112,1583376,175598224,200,22718501,0,0,45074162,35430014,9644148,6963039,2681109,7280507,7965568,0,0,0,5.95,17.67,5.24,-49.91,흑전,97.91,991.10,3.66,0,21.40,0.25,1.57,4.65,1.47,4.36,357,8641,22.36,0.92,4.03,16.98,5.84,65.97,33.67,1348004,18942546,-8600000
2018,196250217,58356577,137893641,0,7050295,6119371,930925,189199922,200,22718501,0,0,47754014,39294199,8459815,7296915,1162900,10633320,12091610,0,0,0,2.44,25.32,5.95,-56.63,51.80,47.54,953.64,3.73,0,17.72,0.25,0.64,6.63,0.61,6.39,535,9242,8.44,0.49,2.15,7.15,3.46,84.16,29.06,8200882,5371436,0
