구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,102394199,73345869,29048329,0,59209263,53619803,5589461,43184935,5000,3737234,0,0,160765837,143567425,17198412,10556678,6641734,2812581,2718292,1182349,-8893771,7146968,200,729215,26.83,4.13,1.69,51.15,108.42,41.11,3.00,136.79,137.11,1.53,10.70,1.82,17.51,7.17,7.52,3.08,735,12173,17.81,1.08,0.30,9.88,15.36,9.06,6.82
2010,148837431,116829530,32007901,0,102288452,94144536,8143916,46548978,500,37372340,0,0,199801262,179107284,20693978,15461159,5232819,2325269,2194912,-20742636,-5220023,23851966,10,364607,16.61,2.62,1.10,0,0,0,1.68,124.10,219.74,0.68,10.36,0,0,0,0,0,59,1307,25.11,1.13,0.28,11.70,0,21.44,14.48
2011,113722926,82082280,31640647,0,74317148,68046090,6271057,39405778,500,37372340,0,0,150112681,140867278,9245403,12715045,-3469643,-6588076,-5344675,32638895,-2754057,-28962853,0,0,0,-2.31,-3.56,-24.87,적전,적전,0,120.63,188.59,0,6.16,1.14,-8.07,-12.44,-2.64,-4.07,-143,1157,0,0.86,0.25,0,-3.27,0,0
2012,105539347,75783306,29756041,0,67843142,63886459,3956682,37696205,500,37372340,0,0,143479949,131079004,12400945,10698795,1702150,-1641945,-1521437,3057890,5340244,-11934366,0,0,0,1.19,-1.06,-4.42,흑전,적지,0.47,118.62,179.97,0,8.64,1.31,4.42,-3.95,1.55,-1.39,-41,1112,0,0.86,0.25,22.07,2.18,43.87,15.40
2013,103328289,73683900,29644389,0,69857506,64795665,5061841,33470783,500,37372340,0,0,115749129,107774391,7974738,8509183,-534445,-4276715,-4381099,2048206,-3982847,2563003,0,0,0,-0.46,-3.78,-19.33,적전,적지,0,113.72,208.71,0,6.89,1.11,-1.50,-12.31,-0.51,-4.20,-117,999,0,0.73,0.24,0,-0.76,0,23.77
2014,105462905,72340447,33122458,0,67877169,64315735,3561434,37585736,500,37372340,0,0,137134398,125076869,12057529,8619419,3438110,623135,300782,3137787,-1479837,-3480794,0,0,0,2.51,0.22,18.48,흑전,흑전,1.04,112.48,180.59,0,8.79,1.31,9.68,0.85,3.29,0.29,8,1006,143.51,1.15,0.31,10.74,2.17,26.02,12.50
2015,97047072,63718551,33328520,0,58231073,52160277,6070796,38815999,500,37372340,0,0,127936190,114304197,13631992,9412195,4219797,1819617,1617387,14899285,-2862922,-10515977,0,0,0,3.30,1.26,-6.71,22.74,437.73,1.78,122.16,150.02,0,10.66,1.26,11.05,4.23,4.17,1.60,43,1039,36.74,1.53,0.46,11.25,4.82,22.38,11.97
2016,102085750,68881087,33204663,0,43174066,39690337,3483729,58911684,500,46144269,0,0,97923870,92762435,5161435,9948696,-4787260,-5943432,-5113504,3065167,-15573453,19440148,0,0,0,-4.89,-5.22,-23.46,적전,적전,0,173.55,73.29,0,5.27,0.98,-9.80,-10.46,-4.81,-5.14,-129,1277,0,2.67,1.38,0,-5.74,0,0
2017,202054862,74636364,127418498,0,75799029,62361737,13437292,126255832,500,52332155,0,0,112119451,105538925,6580526,9815266,-3234740,4377692,4108937,-3887380,-25632166,39705145,0,0,0,-2.89,3.66,14.50,적지,흑전,0,119.68,60.04,0,5.87,0.74,-3.49,4.44,-2.13,2.70,81,2413,57.22,1.91,2.10,29.95,-5.05,0,518.32
2018,194186138,75464590,118721548,0,86735789,76940764,9795024,107450349,500,56551602,0,0,91081443,95791627,-4710184,13699438,-18409622,-31622111,-29972349,-2094917,-29915618,42330251,0,0,0,-20.21,-32.91,-18.76,적지,적전,0,98.08,80.72,0,-5.17,0.46,-15.75,-25.65,-9.29,-15.13,-530,1900,0,3.83,4.51,0,-37.95,0,0
