구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,171513401,130056361,41457040,0,68742552,65381828,3360724,102770849,500,9750000,0,0,193174244,171773248,21400997,19158451,2242546,2776428,-1194092,-9417213,-92986,42950016,50,487500,0,-0.62,-6.46,-78.56,적전,6.69,198.92,66.89,0.21,11.08,1.28,2.93,-1.56,1.49,-0.79,-131,10541,0,2.28,1.08,182.04,-1.86,104.35,51.72
2017,130234776,90816193,39418583,0,79974505,69538191,10436313,50260272,500,7800000,0,0,206521699,176543637,29978062,19516201,10461861,8333739,7478064,5374943,-2618813,-2889811,50,390000,0,3.62,36.11,54.93,10.19,28.70,130.60,159.12,0.27,14.52,1.56,22.23,15.89,7.92,5.66,973,6445,18.85,2.85,0.69,14.10,20.68,13.68,10.99
2016,133973844,100832233,33141611,0,90094205,76306703,13787502,43879639,500,7800000,0,0,151727888,125143587,26584302,19831512,6752790,6874398,6786443,6059797,-2715876,-2449475,50,390000,0,4.47,16.22,-34.65,-27.35,15.92,132.14,205.32,0.28,17.52,1.28,16.39,16.47,5.69,5.72,864,5612,20.60,3.17,0.92,15.16,15.26,20.84,15.35
2015,103310431,70371470,32938961,0,64775812,51993941,12781870,38534619,500,7800000,0,0,130553129,103780261,26772868,16440073,10332795,10207862,9341915,5201047,-10096788,6517887,70,546000,0,7.16,34.56,414.12,393.90,29.64,135.35,168.10,0.61,20.51,1.43,30.40,27.49,11.36,10.27,1229,4921,9.36,2.34,0.69,7.71,28.05,9.10,7.59
2014,78663280,53335790,25327490,0,49221752,41792567,7429184,29441528,500,7800000,0,0,97019458,80347186,16672272,14662481,2009791,1977555,1891467,5394484,-1133932,-1556994,0,0,0,1.95,-6.15,-2.28,70.70,3.04,127.62,167.18,0,17.18,1.20,7.10,6.68,2.49,2.34,276,3744,14.16,1.05,0.31,6.90,6.02,17.44,8.19
2013,82794410,57005862,25788548,0,55593190,46335515,9257675,27201220,500,7800000,0,0,103380119,87849525,15530594,13473832,2056762,1367027,1108040,4140201,-3928332,3151607,0,0,0,1.07,44.32,흑전,흑전,2.79,123.03,204.38,0,15.02,1.38,7.72,4.16,2.74,1.48,140,3426,34.80,1.43,0.37,11.26,5.04,22.80,10.79
2012,67418166,43355806,24062360,0,41364504,34012043,7352462,26053662,500,7800000,0,0,71634123,62361971,9272152,11999007,-2726855,-3340643,-3384764,857584,-3046539,2435679,0,0,0,-4.73,-26.03,적전,적전,0,127.47,158.77,0,12.94,1.05,-9.70,-12.04,-4.00,-4.97,-454,3280,0,1.63,0.58,0,-8.42,0,0
2011,68898164,48219871,20678293,0,38703878,33885381,4818497,30194286,500,7800000,0,0,96836013,79307365,17528648,11681877,5846771,5394453,6278376,8410798,-8460847,3815041,50,390000,0,6.48,13.75,-24.67,-15.52,5.72,142.30,128.18,0.68,18.10,1.55,24.89,26.73,9.34,10.03,912,3831,8.05,1.92,0.52,6.44,21.85,10.97,8.66
2010,56341403,40522015,15819388,0,39552823,33046122,6506701,16788580,500,4317714,0,0,85132077,68158231,16973847,9212188,7761659,7330389,7431435,-2300065,-2331186,6528028,0,0,0,8.73,0,0,0,9.12,122.62,235.59,0,19.94,0,0,0,0,0,1706,3822,0,0,0,0,0,2.00,1.70
2009,33025925,18423953,14601972,0,23494006,17248452,6245553,9531920,500,4317714,0,0,39062144,32043744,7018400,5481097,1537303,1442138,1430490,-180183,-1710147,1154344,0,0,0,3.66,-25.56,11.36,72.68,2.32,106.82,246.48,0,17.97,1.25,17.42,16.21,4.92,4.58,331,2208,0,0,0,0,7.72,8.33,4.67
