구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,77675670,28837144,48838526,0,19190741,16754970,2435771,58484930,500,3659990,0,0,46132147,36054082,10078065,4477882,5600183,5347935,5065625,246999,-4192755,1756418,210,757784,0,10.98,7.88,4.28,-6.14,24.67,172.11,32.81,0.85,21.85,0.62,9.89,8.94,7.55,6.83,1269,16247,19.50,1.52,1.96,10.14,11.72,16.26,9.21
2017,70595677,21418574,49177104,0,15806165,10928759,4877407,54789512,500,3659990,0,0,42762139,32307526,10454613,5084486,5370127,5621605,5396783,11140296,-8996731,-583827,310,1124704,0,12.62,24.90,70.03,70.00,22.98,195.98,28.85,0.74,24.45,0.61,10.21,10.26,7.68,7.72,1547,15207,26.93,2.74,3.56,14.57,11.92,28.38,14.98
2016,69191092,24785650,44405441,0,18788625,11282825,7505800,50402467,500,3659990,0,0,34238374,27326493,6911882,3753549,3158333,2962954,3174530,9150416,-9532597,-642330,240,872915,0,9.27,12.21,-31.61,-27.54,22.11,219.68,37.28,0.66,20.19,0.53,6.41,6.44,4.92,4.95,891,13898,40.68,2.61,3.88,18.49,8.25,42.02,18.76
2015,59150808,24825942,34324866,0,11030549,4996557,6033993,48120258,500,3659990,0,0,30512360,22426132,8086227,3468324,4617904,4759075,4381171,-4697520,10171313,-818418,220,800729,0,14.36,16.95,111.17,144.64,34.95,496.86,22.92,1.07,26.50,0.53,9.97,9.45,8.09,7.68,1137,13226,18.12,1.56,2.47,10.28,13.11,16.35,9.69
2014,55007688,25926408,29081280,0,10450182,4600860,5849322,44557506,500,3659990,0,0,26091106,21110462,4980644,2793875,2186769,1789083,1790845,7620315,-9937933,-403110,150,548049,0,6.86,-17.48,-33.19,-43.49,56.38,563.51,23.45,0.78,19.09,0.47,4.99,4.08,3.97,3.25,482,12239,40.18,1.58,2.71,14.71,8.01,32.34,13.50
2013,55105831,23782654,31323177,0,11936059,5802146,6133913,43169772,500,3659990,0,0,31618081,26171472,5446609,2173428,3273181,3237312,3169177,14346206,-11559237,-951597,180,658798,0,10.02,-12.35,-29.90,-34.35,28.13,409.89,27.65,1.06,17.23,0.62,7.78,7.53,6.39,6.18,866,11795,19.69,1.45,1.97,10.68,10.59,19.06,10.50
2012,47373821,28068443,19305377,0,6421628,5644485,777143,40952192,500,3659990,0,0,36072609,29184909,6887700,2218606,4669094,4631191,4827460,270364,-753025,-731998,260,952000,0,13.38,25.94,57.57,13.58,147.28,497.27,15.68,1.29,19.09,0.76,12.00,12.41,9.77,10.11,1319,11189,15.28,1.80,2.04,11.03,17.27,15.80,11.30
2011,48166417,28849054,19317363,0,11309687,10459988,849698,36856730,500,3659990,0,0,28641907,23298188,5343718,2380612,2963106,4088280,4250167,7613754,-4446241,-336874,200,732000,0,14.84,29.73,71.17,156.19,209.14,275.80,30.69,0.98,18.66,0.65,8.49,12.18,6.76,9.70,1161,10070,17.65,2.04,2.62,12.40,12.64,25.32,15.75
2010,39440830,23887205,15553625,0,6497393,5906835,590558,32943437,500,3650170,0,0,22077258,17812284,4264974,2533866,1731109,1932337,1658994,-1879587,-1357449,-295585,100,365017,0,7.51,0,0,0,0,404.40,19.72,0.46,19.32,0,0,0,0,0,457,9025,47.34,2.40,3.56,26.10,0,45.65,25.65
2009,38753390,23600776,15152615,0,6935899,6859299,76600,31817491,500,3495845,0,0,23047876,16900132,6147744,2508115,3639629,3681291,3840225,5647118,-6049373,1054563,200,699169,0,16.66,10.69,16.23,23.41,0,344.07,21.80,0.66,26.67,0.66,12.34,13.02,10.37,10.94,1168,9102,25.94,3.33,4.32,19.82,19.75,29.10,21.95
