구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,7225894144,3965909726,3259984418,0,851366369,538439986,312926383,6374527775,5000,18870000,0,0,6883323140,5979323638,903999502,139280738,764718764,768730507,534814939,888331258,-649742278,-182943823,11000,194416640,0,7.77,4.35,-14.53,-15.65,726.23,736.56,13.36,2.54,13.13,0.97,12.25,8.57,10.72,7.50,27950,334050,15.47,1.29,1.19,10.38,14.36,10.84,8.10
2017,7038142273,3669853352,3368288920,0,932491517,606533185,325958332,6105650755,5000,18870000,0,0,6596671357,5527931675,1068739682,173987318,894752364,925732651,634031143,796812343,-323708943,-172517182,10000,176742400,0,9.61,12.81,17.01,6.63,1122.56,605.05,15.27,2.03,16.20,0.98,15.21,10.78,13.24,9.38,33336,318698,14.79,1.55,1.41,10.86,17.38,10.56,8.42
2016,6482637892,2894550312,3588087580,0,819933197,536772601,283160596,5662704694,5000,18870000,0,0,5847513112,4904822948,942690164,178005576,764684588,801691476,594584342,680703745,-458973219,-156539766,8500,150231040,0,10.17,22.55,13.76,15.68,812.59,539.25,14.48,1.79,16.12,0.94,14.05,10.93,12.34,9.60,31395,295176,15.13,1.61,1.53,11.05,17.17,11.91,9.27
2015,5907933007,2537906166,3370026841,0,688564178,390034948,298529230,5219368828,5000,18870000,0,0,4771442958,3929484148,841958810,169739877,672218933,684519205,513990324,944860095,-650784624,-236269636,8500,150231040,0,10.77,-3.38,-1.53,1.81,383.97,650.69,13.19,1.81,17.65,0.83,13.44,10.28,11.64,8.90,26994,271901,17.37,1.72,1.85,12.95,15.86,13.38,10.63
2014,5642418565,2674108069,2968310496,0,859304761,551181947,308122815,4783113804,5000,18870000,0,0,4938531768,4112561294,825970473,143297860,682672613,683031808,504874328,403850642,-563587743,-86544453,6500,114882560,0,10.22,2.51,14.04,11.51,271.76,485.16,17.97,1.61,16.73,0.92,14.98,11.08,12.69,9.38,26565,248406,15.19,1.62,1.54,11.59,17.51,11.37,9.26
2013,5120964733,2523849164,2597115568,0,789005713,483370911,305634803,4331959019,5000,18870000,0,0,4817733929,4081798431,735935497,137326267,598609230,595654129,452757832,728854802,-530391349,-251512862,5000,88371200,0,9.40,-12.37,-20.98,-20.29,76.69,522.14,18.21,1.57,15.28,0.96,14.39,10.89,11.90,9.00,23745,224494,13.39,1.42,1.25,10.09,17.47,10.27,8.25
2012,4940542141,2523323061,2417219080,0,954496481,625939278,328557204,3986045660,5000,18870000,0,0,5497530087,4599705168,897824919,140286019,757538900,751347498,568030947,498585129,-593794821,-223986151,5000,88371000,0,10.33,-1.06,-21.39,-20.41,68.19,403.13,23.95,1.23,16.33,1.15,20.21,15.15,15.87,11.90,29685,207361,13.64,1.95,1.39,11.15,23.93,10.26,8.80
2011,4606179546,2438545202,2167634344,0,1095767708,686319192,409448516,3510411838,5000,18870000,0,0,5556409360,4458063857,1098345502,134707069,963638433,974508546,713725941,909319544,-326134988,-134301973,5000,88371000,0,12.85,44.77,48.75,28.71,64.46,355.31,31.21,1.64,19.77,1.30,30.49,22.58,22.46,16.64,37342,182490,8.14,1.67,1.03,7.03,32.70,6.08,5.45
2010,3974021561,2044415135,1929606426,0,1163121436,574667828,588453608,2810900125,5000,18870000,0,0,3838012478,3075336585,762675893,114850652,647825242,726459209,554542043,608292353,-507741158,34201400,2500,44185600,0,14.45,0,0,0,38.07,355.76,41.38,0.90,19.87,0,0,0,0,0,29086,146631,9.51,1.89,1.36,8.18,0,8.20,7.22
2009,3216004739,1686948196,1529056543,0,943277760,556550168,386727592,2272726979,5000,18870000,0,0,3185068295,2655506036,529562259,110561050,419001208,541488279,418447184,189969822,-300186312,-61912835,2200,38883328,0,13.14,3.19,-23.15,44.46,21.80,303.11,41.50,1.08,16.63,1.08,20.30,20.28,14.21,14.20,21994,117455,9.28,1.74,1.21,6.83,19.27,9.41,6.95
