구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,26368656,13742918,12625738,0,8547455,6999524,1547930,17821202,500,7520000,0,0,4363599,-3274146,-944713,0,0,0,2.79,7.18,7.32,흑전,흑전,12.58,196.34,47.96,0,27.43,0.95,3.69,9.50,2.65,6.82,214,2663,8.11,0.65,0.58,6.36,7.06,20.85,12.22,22417557,16268386,6149170,5523369,625801,1756374,1609316
2010,37146097,24520643,12625454,0,13337462,11202425,2135037,23808634,500,7520000,0,0,-1985901,-216079,-500000,50,330000,5.12,16.99,14.58,0,0,0,94.55,218.89,56.02,1.65,39.85,0,0,0,0,0,857,3440,3.53,0.88,0.49,3.24,0,2.90,2.70,46413211,27915601,18497610,10609915,7887695,8264563,6767386
2011,52575255,33914648,18660607,0,24980582,18721106,6259476,27594673,500,7520000,0,0,4171926,-8301339,6175565,50,332750,10.71,9.85,8.49,-10.58,-48.18,-47.96,20.36,181.16,90.53,1.40,37.58,0.93,15.90,13.70,9.11,7.85,413,3874,8.64,0.92,0.65,7.33,20.02,6.70,5.90,41504144,25904818,15599326,11512034,4087292,4110269,3521902
2012,53824618,31615500,22209118,0,17816313,15995521,1820793,36008304,500,8418874,0,0,4001355,2920877,-2008574,50,388000,5.98,12.53,10.81,56.16,98.68,98.86,25.45,197.65,49.48,1.20,38.30,1.22,25.54,22.02,15.26,13.16,825,4341,5.04,0.96,0.51,4.45,28.25,4.44,4.01,64812103,39987385,24824718,16704035,8120683,8295374,7003711
2013,62626777,37636405,24990371,0,19996780,17024585,2972195,42629997,500,8913253,0,0,2553950,-3959306,2019654,50,413413,7.67,9.30,7.32,24.95,-7.27,-15.39,46.16,221.07,46.91,0.92,32.42,1.39,19.15,15.07,12.93,10.18,612,4785,8.84,1.13,0.59,7.45,21.41,6.61,5.83,80982977,54728168,26254809,18724731,7530078,6762806,5925826
2014,69972237,42966221,27006016,0,19126184,16020729,3105456,50846053,500,9317745,0,0,11593132,-2786939,42494,70,609542,8.45,9.65,8.84,10.05,14.20,32.99,60.23,268.19,37.62,1.25,32.16,1.34,18.40,16.86,12.97,11.89,787,5380,7.13,1.04,0.58,6.21,24.48,6.33,5.64,89122994,60458294,28664700,20065522,8599178,8307402,7880919
2015,69691968,35391249,34300719,0,13016302,10452602,2563700,56675666,500,9317745,0,0,6748971,-9000109,-559542,0,0,0,7.12,6.76,-5.27,-30.09,-27.62,60.28,338.59,22.97,0,36.10,1.21,11.18,10.61,8.61,8.17,565,5929,10.35,0.99,0.65,8.12,15.63,9.50,7.66,84422579,53943632,30478947,24467360,6011588,6302827,5703892
2016,89405841,53825575,35580265,0,28626022,25498390,3127632,60779819,500,9317745,0,0,158727,-3735368,563035,0,0,0,5.37,5.11,7.58,-18.86,-18.58,63.24,211.09,47.10,0,36.71,1.14,8.31,7.91,6.13,5.84,434,6313,12.64,0.87,0.56,9.04,10.43,11.12,8.36,90819412,57475833,33343579,28465669,4877910,5228061,4644376
2017,102400669,57916418,44484251,0,24125110,21709365,2415745,78275559,500,9317745,0,0,17990434,-11451677,441771,100,902574,5.90,13.67,9.68,79.30,356.36,239.26,212.37,266.78,30.82,0.81,34.43,1.70,32.02,22.66,23.21,16.43,1642,8012,7.52,1.54,0.71,6.81,36.61,5.36,5.00,162835484,106768667,56066817,33806030,22260787,18667330,15756344
2018,105027408,54651818,50375590,0,19219582,17071170,2148412,85807825,500,9317745,0,0,2345516,-6874684,-2754280,0,0,0,8.01,7.93,-20.26,-53.26,-34.61,118.58,320.14,22.40,0,33.50,1.25,12.68,12.56,10.03,9.93,1033,8969,4.30,0.50,0.32,3.44,14.46,4.44,3.61,129850197,86354595,43495602,33089838,10405764,11503981,10303468
