구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,97731445,85222867,12508578,0,24998024,22238235,2759789,72733421,5000,1300000,0,0,221030683,149782729,71247954,30109645,41138309,41294355,31325990,32059272,-22252849,-7800000,20000,26000000,83.00,18.61,14.17,9.61,154.29,158.19,0,383.23,34.37,16.60,32.23,2.57,67.47,51.38,47.89,36.47,24097,55949,5.00,2.15,0.71,4.78,71.20,3.81,3.68
2010,119029727,101913680,17116046,0,44069173,41297955,2771218,74960553,5000,1300000,0,0,257315987,189074991,68240996,33142572,35098424,36197146,27160406,32830776,-651903,-27300000,18000,23400000,86.15,13.64,10.56,0,0,0,0,246.78,58.79,8.04,26.52,0,0,0,0,0,20893,57662,10.72,3.88,1.13,10.26,0,8.30,8.02
2011,119139746,103575449,15564297,0,41856024,40591221,1264803,77283722,5000,1300000,0,0,295622945,229873864,65749081,33740417,32008664,34543640,26116007,13351670,-701511,-23400000,17000,22100000,84.62,10.83,8.83,14.89,-8.80,-3.85,0,255.17,54.16,8.33,22.24,2.48,42.05,34.31,26.88,21.93,20089,59449,10.15,3.43,0.90,9.77,49.87,8.29,8.02
2012,116670671,101373061,15297611,0,30702956,30702956,0,85967716,5000,1300000,0,0,278463040,203608346,74854694,36188557,38666137,40599282,31169490,35074471,-1302814,-22100000,20000,26000000,83.41,13.89,11.19,-5.80,20.80,19.35,0,330.17,35.71,8.11,26.88,2.36,47.37,38.19,32.79,26.44,23977,66129,10.28,3.73,1.15,9.96,55.13,8.29,8.08
2013,122825707,106446841,16378866,0,32791503,32791503,0,90034204,5000,1300000,0,0,246758057,176095983,70662074,34623733,36038341,38665060,29607314,37737113,-2081934,-26000000,20000,26000000,87.82,14.60,12.00,-11.39,-6.80,-5.01,0,324.62,36.42,4.27,28.64,2.06,40.95,33.64,30.10,24.72,22775,69257,20.57,6.76,2.47,19.85,55.58,16.90,16.41
2014,115064149,98527578,16536571,0,24481601,24218257,263344,90582548,5000,1300000,0,0,238682289,167903503,70778786,37695244,33083543,35001052,26924424,27619562,-1244100,-26000000,19000,24700000,91.74,13.86,11.28,-3.27,-8.20,-9.06,0,406.83,27.03,4.67,29.65,2.01,36.63,29.81,27.81,22.64,20711,69679,19.63,5.83,2.21,18.79,54.02,15.97,15.41
2015,126542699,108910827,17631872,0,29688654,29466473,222181,96854045,5000,1300000,0,0,223816848,146027007,77789841,38712479,39077363,40716801,31213597,37835797,-37598704,-24700000,20000,26000000,83.30,17.46,13.95,-6.23,18.12,15.93,0,369.61,30.65,4.24,34.76,1.85,41.70,33.31,32.35,25.84,24010,74503,19.64,6.33,2.74,18.93,67.17,15.69,15.23
2016,122973241,105043501,17929740,0,25653454,25547643,105812,97319787,5000,1300000,0,0,210901755,135833738,75068016,39988287,35079729,36275915,27242382,30033069,-10672369,-26000000,19000,24700000,90.67,16.63,12.92,-5.77,-10.23,-12.72,0,411.17,26.36,4.29,35.59,1.69,36.13,28.06,28.12,21.84,20956,74861,21.14,5.92,2.73,20.22,63.98,16.42,15.86
2017,130947310,111860781,19086530,0,31504877,31397852,107025,99442434,5000,1300000,0,0,210536210,140876506,69659704,39620365,30039339,31517363,24243288,19663895,7948191,-22100000,17000,22100000,91.16,14.27,11.52,-0.17,-14.37,-11.01,0,356.27,31.68,4.43,33.09,1.66,30.53,24.64,23.66,19.10,18649,76494,20.59,5.02,2.37,19.53,52.84,16.62,15.92
2018,144599598,119949157,24650441,0,45048637,45048637,0,99550961,5000,1300000,0,0,219753603,144547721,75205882,44183078,31022804,32429212,24960349,29873923,-299452,-24700000,19000,24700000,98.96,14.12,11.36,4.38,3.27,2.96,0,266.27,45.25,5.65,34.22,1.60,31.18,25.09,22.52,18.12,19200,76578,17.53,4.39,1.99,16.44,56.45,14.10,13.39
