구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,65194765,31384300,33810465,0,12630924,11226382,1404542,52563841,500,5656118,0,0,35455311,25311483,10143828,11852481,-1708653,-1743970,-1021721,-6089785,4835281,-5767964,0,0,0,-2.88,-61.22,적전,적전,0,279.56,24.03,0,28.61,0.52,-3.26,-1.95,-2.48,-1.48,-183,9293,0,1.02,1.49,262.53,-2.42,0,0
2017,72458776,37999132,34459643,0,20267832,16356126,3911707,52190943,500,5258150,0,0,91425665,61823258,29602407,13977874,15624533,14336608,12117169,10551164,-22546734,23522965,200,1051630,0,13.25,79.70,137.62,144.74,39.32,232.32,38.83,0.84,32.38,1.51,41.95,32.53,25.84,20.04,2610,9926,9.18,2.41,1.22,8.35,45.31,8.06,7.48
2016,48476491,29916778,18559713,0,26178060,20218344,5959716,22298432,500,4144000,0,0,50875860,34620967,16254892,9679361,6575532,6115096,4951082,6109585,-2872932,940606,0,0,0,9.73,104.71,흑전,흑전,14.91,147.97,117.40,0,31.95,1.39,38.04,28.64,17.99,13.55,1195,5381,0,0,0,0,27.72,0.00,0.00
2015,24623887,7045050,17578837,0,12352319,11529644,822674,12271568,500,4144000,0,0,24853247,19235664,5617584,6735668,-1118085,-1337974,-625220,-1614726,146706,1870664,0,0,0,-2.52,-7.17,적전,적전,0,61.10,100.66,0,22.60,0.92,-7.94,-4.44,-4.12,-2.31,-147,3703,0,0,0,0,-2.73,0,0
2014,29615272,12274935,17340337,0,13708131,10478567,3229565,15907141,500,4144000,0,0,26773970,20225675,6548295,6366673,181622,149354,590536,1553516,-2172287,-100000,0,0,0,2.21,-19.26,-92.96,-71.67,0.70,117.14,86.18,0,24.46,0.95,1.16,3.79,0.65,2.10,137,3696,0,0,0,0,3.69,25.04,4.47
2013,26596665,8991476,17605189,0,11316518,8305780,3010738,15280147,500,4144000,0,0,33161667,24066975,9094691,6516517,2578175,2432463,2084585,1584932,4794796,-5156756,0,0,0,6.29,3.67,-36.20,-40.06,7.19,108.26,74.06,0,27.43,1.18,18.18,14.70,9.16,7.41,484,3550,0,0,0,0,12.32,1.41,1.12
2012,29700657,8239319,21461338,0,16625540,6422290,10203250,13075117,500,4144000,0,0,31988112,22506798,9481314,5440220,4041094,4075901,3477972,2852521,-4283642,1853044,0,0,0,10.87,6.36,-1.59,10.87,7.91,128.29,127.15,0,29.64,1.09,35.21,30.30,13.72,11.80,799,3038,0,0,0,0,19.48,2.31,2.10
2011,29227495,11106338,18121157,0,19346290,10557026,8789264,9881205,5000,103600,0,0,30074128,20947689,9126439,5019986,4106452,3307137,3137081,5087512,-11784049,6320216,0,0,0,10.43,0,0,0,21.10,105.20,195.79,0,30.35,0,0,0,0,0,30281,95378,0,0,0,0,0,2.26,2.08
2010,13668766,6846892,6821874,0,6605575,5309478,1296096,7063191,5000,103600,0,0,17829492,12095504,5733988,3177406,2556582,1796242,1796242,864791,147145,-783499,0,700000,0,10.07,115.58,377.99,흑전,16.70,128.96,93.52,0,32.16,1.39,41.47,29.14,19.88,13.97,17338,68178,0,0,0,0,33.83,0.48,0.42
2009,12047408,5196490,6850918,0,6780458,4276262,2504196,5266950,5000,103600,0,0,8270648,5688183,2582465,2047609,534856,-139138,-139138,919859,-277397,27354,0,0,0,-1.68,9.48,21.33,적전,2.69,121.52,128.74,0,31.22,0.71,10.30,-2.68,4.61,-1.20,-1343,50839,0,0,0,0,7.60,2.98,1.99
