구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2018,0,0,0,-126.20,-43.37,적지,적지,0,134.36,75.26,0,-95.79,0.11,-35.60,-25.18,-20.31,-14.36,-659,1862,0,1.75,6.22,0,-42.53,0,0,8673759,16982024,-8308265,7170632,-15478897,-10946407,-10946407,-5963295,-3537677,42329107,106134014,55874937,50259077,0,45575046,41586619,3988427,60558968,500,31881850,0,0
2017,0,0,0,-121.51,-45.20,적지,적지,0,169.92,75.38,0,-8.63,0.32,-42.48,-89.28,-18.56,-39.01,-179,232,0,1.67,2.62,0,-28.27,0,0,15317216,16638612,-1321396,7534196,-8855591,-19302938,-18612274,-5228540,-13241383,18835132,46291545,29956763,16334782,0,19896089,17629922,2266167,26395456,500,113863050,0,0
2016,0,0,0,-83.46,-27.74,적전,적전,0,158.79,221.11,0,8.67,0.44,-16.13,-93.77,-6.32,-36.76,-353,222,0,4.97,2.63,0,-8.36,0,0,27950372,25526527,2423844,6436214,-4012370,-24490770,-23327068,-1412824,-22664582,23714510,49125869,32743817,16382052,0,33826925,20621034,13205891,15298944,500,68844889,0,0
2015,0,0,0,0.84,-8.71,흑전,흑전,0.35,132.59,125.79,0,13.40,0.57,1.16,1.05,0.53,0.48,74,4552,108.70,1.77,1.26,42.76,4.19,234.09,79.90,38681070,33499395,5181675,4822031,359644,69679,325010,-2864170,-6395472,9600048,77797543,42282203,35515340,0,43342380,31888310,11454070,34455163,5000,6230778,0,0
2014,0,0,0,-10.13,-3.37,적전,적전,0,139.75,112.16,0,8.55,0.69,-8.18,-14.11,-4.06,-7.00,-564,4344,0,0.69,0.43,0,-5.66,0,0,42372746,38749827,3622919,6111983,-2489064,-4139796,-4292354,-1312109,758745,451832,58726859,40248696,18478163,0,31046854,28800006,2246847,27680005,5000,6038978,0,0
2013,0,0,0,1.63,-4.85,흑전,7.16,1.09,158.77,92.60,0,18.63,0.70,4.28,2.21,2.21,1.14,100,4965,28.97,0.58,0.40,11.66,3.06,28.52,17.30,43852130,35684198,8167932,6783549,1384383,696844,714439,-3570361,1700033,1864543,63908708,44057623,19851085,0,30727044,27749755,2977289,33181663,5000,6038978,0,0
2012,0,0,0,1.45,-14.11,적지,흑전,0,152.77,95.01,0,12.82,0.68,-9.51,2.13,-4.41,0.99,158,4819,25.90,0.85,0.54,12.10,-6.86,0,0,46088449,40181487,5906962,8886428,-2979467,608991,666716,-6754843,16990529,-10142340,61473363,40792986,20680377,0,29950534,26703061,3247473,31522829,5000,6038978,0,0
2011,0,0,0,-5.92,7.88,적전,적지,0,140.32,136.68,0,12.18,0.73,-5.28,-9.75,-2.32,-4.29,-365,4718,0,1.50,0.79,78.89,-3.51,0,66.85,53659630,47124949,6534681,8254300,-1719620,-3049706,-3176979,-920935,-445537,1055938,73704291,49107547,24596743,0,42562878,34996490,7566388,31141413,5000,6038978,0,0
2010,0,0,0,-3.78,0,0,0,0.02,129.92,118.51,0,18.93,0,0,0,0,0,-195,5030,0,0.93,0.57,19.68,0,1899.47,20.08,49739188,40325817,9413371,9385461,27910,-1803616,-1881611,-1077673,-303040,-145859,74295360,47383314,26912046,0,40294087,36470131,3823956,34001273,5000,6038978,0,0
2009,0,0,0,-2.54,-12.05,적전,적지,0,151.67,109.93,0,15.19,0.59,-1.96,-3.02,-0.97,-1.49,-98,5124,0,0.56,0.41,8.90,-1.45,0,22.03,42763266,36266988,6496278,7203215,-706937,-1018385,-1087459,-91210,-951055,1894024,72626004,42755274,29870730,0,38030168,28188949,9841219,34595836,5000,6038978,0,0
