구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,61659781,29066728,32593053,0,34878250,26055830,8822420,26781531,500,7562701,0,0,14217842,11554956,2662886,13051431,-10388545,-31276838,-34495693,-7132370,-16400345,17798006,0,0,0,-242.62,-16.73,적지,적지,0,111.56,130.23,0,18.73,0.22,-37.29,-123.81,-16.30,-54.12,-4841,3619,0,0.02,0.04,0,-40.98,0,0
2017,65810066,38202579,27607487,0,36870220,28262690,8607530,28939847,500,95129496,0,0,17074815,18801046,-1726230,8833651,-10559882,-71973515,-86648767,-21185908,-13514362,40616261,0,0,0,-507.47,-19.50,적지,적지,0,135.17,127.40,0,-10.11,0.20,-27.65,-226.88,-12.39,-101.69,-983,308,0,1.76,2.78,0,-21.32,0,0
2016,104614742,20550403,84064340,0,57171817,55287808,1884009,47442925,500,40620892,0,0,21209654,19870989,1338665,9202616,-7863951,-13647329,-20911963,-5140917,-54008249,62420849,0,0,0,-98.60,-54.58,적지,적지,0,37.17,120.51,0,6.31,0.26,-21.75,-57.83,-9.48,-25.21,-702,1170,0,1.84,3.03,0,-11.43,0,0
2015,61316856,14609857,46706999,0,36432613,31483144,4949469,24884242,500,24803000,0,0,46692392,56930272,-10237879,3614977,-13852856,-18083312,-16423564,60939,-2118238,4307958,0,0,0,-35.17,-8.15,적지,적지,0,46.41,146.41,0,-21.93,0.69,-58.80,-69.71,-20.53,-24.34,-1181,1010,0,2.09,0.63,0,-21.89,0,0
2014,73650815,23385780,50265035,0,51416726,35185224,16231501,22234090,5000,1200000,0,0,50833650,50279172,554478,2501455,-1946977,-4250717,-3719317,-564472,-1601500,1927275,0,0,0,-7.32,-16.37,적전,적전,0,66.46,231.25,0,1.09,0.71,-8.75,-16.71,-2.71,-5.18,-3099,18679,0,0.41,0.18,0,-2.65,0,32.25
2013,70065076,22900803,47164274,0,47787707,31538253,16249454,22277369,5000,1200000,0,0,60781914,56236685,4545229,2645454,1899775,668907,494680,2418338,-1265441,-1453223,0,0,0,0.81,-7.30,흑전,흑전,1.30,72.61,214.51,0,7.48,0.86,8.63,2.25,2.69,0.70,412,18715,20.26,0.45,0.16,2.42,2.22,26.61,9.13
2012,71403811,21795470,49608341,0,49658934,30428530,19230404,21744877,5000,1200000,0,0,65570041,65482285,87757,2469138,-2381381,-1949087,-1103140,1853308,-961467,-803383,0,0,0,-1.68,-5.14,적지,적지,0,71.63,228.37,0,0.13,0.89,-10.66,-4.94,-3.24,-1.50,-919,18271,0,0.44,0.15,3.86,-2.05,0,42.21
2011,75426890,23037976,52388914,0,52492226,29002386,23489840,22934664,5000,1200000,0,0,69123351,68752963,370389,3012453,-2642064,-4680784,-3776360,-10325032,-4615346,14245902,0,0,0,-5.46,8.00,적전,적전,0,79.43,228.88,0,0.54,0.97,-10.59,-15.14,-3.70,-5.29,-3147,19209,0,0.53,0.18,0,-3.46,0,58.57
2010,67428723,16304685,51124038,0,40476481,19282652,21193830,26952242,5000,1200000,0,0,64002171,55095181,8906990,4401254,4505736,4209993,3290365,11260987,-1590228,-8710775,400,470935,0,5.14,0,0,0,3.29,84.56,150.18,3.56,13.92,0,0,0,0,0,2742,22694,4.10,0.50,0.21,1.90,0,9.37,5.07
2009,69765952,15123148,54642805,0,44974261,18380855,26593406,24791692,5000,1200000,0,0,49689237,44364712,5324526,2718440,2606086,2723029,2883965,4124915,-4486698,331395,350,412243,0,5.80,37.84,380.73,흑전,1.63,82.28,181.41,3.77,10.72,0.75,12.45,13.78,3.92,4.33,2403,20889,3.86,0.44,0.22,1.43,4.70,18.79,6.53
