구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,117050412,11743015,105307397,0,123916389,54606235,69310154,-6865977,5000,16006758,0,0,87801946,95965417,-8163471,19060608,-27224079,-33355307,-33355307,-16196609,359626,16500648,0,0,0,-31.01,-37.99,61.06,적지,적지,0,21.50,완전잠식,0,-9.30,0.73,-649.65,-795.96,-22.74,-27.86,-2256,-429,0,0,0,0,-27.78,0,0
2010,78441554,39048763,39392791,0,66652705,56959909,9692796,11788849,5000,22006758,0,0,157527971,137783379,19744592,25813337,-6068746,-11145322,-11145322,11048669,51770569,-44558742,0,0,0,-3.85,-7.08,79.41,적지,적지,0,68.55,565.39,0,12.53,1.61,-246.55,-452.80,-6.21,-11.40,-676,536,0,0,0,0,-12.47,0,0
2011,100995393,60356847,40638546,0,72392591,64527122,7865469,28602801,5000,22006758,0,0,257724739,211077503,46647236,32789666,13857569,16813196,16813196,20249015,-16214925,-11795425,0,0,0,5.38,6.52,63.61,흑전,흑전,44.41,93.54,253.10,0,18.10,2.87,68.62,83.25,15.45,18.74,764,1300,0,0,0,0,156.27,0.00,0.00
2012,122528271,64698524,57829748,0,89283307,81464498,7818809,33244964,5000,22006758,0,0,341159988,300213172,40946816,38793079,2153737,5257717,5257717,25797744,-3925554,-3844180,0,0,0,0.63,1.54,32.37,-84.46,-68.73,13.66,79.42,268.56,0,12.00,3.05,6.96,17.00,1.93,4.70,239,1511,0,0,0,0,22.79,0.00,0.00
2013,180901506,106567902,74333604,0,131866420,97619185,34247236,49035086,5000,22006758,0,0,434146480,372625549,61520931,44494914,17026017,19653150,19653150,47443678,-49725731,-6785095,0,0,0,3.92,4.53,0,0,0,1272.69,109.17,268.92,0,14.17,0,0,0,0,0,893,2228,0,0,0,0,0,0.00,0.00
2014,263681131,178049110,85632021,0,183590306,135926998,47663308,80090826,5000,22006758,0,0,510636287,423317218,87319069,57799843,29519226,32007012,32007012,60334252,-4557807,0,0,0,0,5.78,6.27,17.62,73.38,62.86,0,130.99,229.23,0,17.10,2.30,45.72,49.57,13.28,14.40,1454,3639,20.80,8.31,1.30,16.48,0,22.55,17.56
2015,477740961,355477030,122263932,0,245922579,200006569,45916010,231818382,5000,25906758,0,0,608058585,486068424,121990161,70580382,51409779,52999278,47157170,72127346,-152046291,127365223,400,10362703,21.97,8.45,7.76,19.08,74.16,47.33,734.31,177.73,106.08,1.00,20.06,1.64,32.96,30.24,13.87,12.72,2054,8948,19.52,4.48,1.51,16.18,0,20.21,16.99
2016,600309976,437759825,162550150,0,328381879,260864253,67517625,271928097,5000,26294258,0,0,747613396,602001278,145612119,87196855,58415264,68776394,52974879,110179181,-61764284,-7340605,500,13147129,24.82,7.81,7.09,22.95,13.63,12.34,140.42,167.81,120.76,1.99,19.48,1.39,23.19,21.03,10.84,9.83,2038,10342,12.31,2.43,0.87,9.73,0,11.30,9.11
2017,800417836,450081616,350336220,0,468995987,368247017,100748970,331421849,5000,26356758,0,0,996357341,774851642,221505699,120187203,101318497,101192009,77796715,144580401,-223379756,20181371,600,15728308,20.22,10.17,7.81,33.27,73.45,46.86,223.53,122.22,141.51,1.70,22.23,1.42,33.59,25.79,14.47,11.11,2954,12761,11.97,2.77,0.93,9.04,0,9.20,7.36
2018,1031605312,478164185,553441128,0,649194617,403159533,246035083,382410696,5000,26356758,0,0,1259395676,1015576955,243818721,142616002,101202718,93317409,70878373,121465168,-6323440,4715214,650,17095251,24.12,8.04,5.63,26.40,-0.11,-8.89,67.80,118.60,169.76,1.94,19.36,1.37,28.35,19.86,11.05,7.74,2689,14582,12.48,2.30,0.70,8.25,36.60,8.74,6.43
