구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,498237087,256908075,241329012,0,310287033,144580487,165706546,187950054,2500,9509406,0,0,-11118758,-63325415,71703420,300,2856067,26.16,8.17,2.40,4.00,1.39,69.73,2.84,177.69,165.09,1.65,40.88,0.99,20.42,6.00,8.10,2.38,1148,19765,15.85,0.92,0.38,8.11,7.29,10.20,7.96,455146860,269092203,186054656,148872931,37181725,16320335,10918718
2010,636143636,377179257,258964379,0,453482898,262822684,190660213,182660739,2500,9794690,0,0,-9811915,-24830809,31912478,300,2940681,79.66,5.79,0.83,0,0,0,1.08,143.51,248.27,1.84,36.51,0,0,0,0,0,376,18655,43.31,0.87,0.36,14.60,0,20.91,16.30,443275672,281455293,161820378,136134243,25686135,5942117,3691351
2011,667091705,402830112,264261592,0,496840929,318181994,178658935,170250775,2500,10207565,0,0,-18183738,-19207685,30640640,200,2044000,0,4.07,-2.27,-2.77,-31.75,적전,0.71,126.60,291.83,1.40,34.34,0.66,9.93,-5.56,2.69,-1.50,-966,16689,0,0.85,0.34,47.63,2.65,32.33,18.66,431007281,283012555,147994726,130465149,17529577,-11482808,-9803596
2012,603145264,331899775,271245489,0,439482599,297853958,141628641,163662665,2500,11582000,0,0,63203813,-18805113,-42519805,125,2043504,0,2.39,-5.14,-7.87,-45.89,적지,0.39,111.43,268.53,0.88,32.48,0.63,5.68,-12.21,1.49,-3.21,-1839,14144,0,1.00,0.40,0,2.54,55.47,22.07,397084759,268107253,128977506,119491441,9486065,-15151842,-20393601
2013,589368538,324094728,265273810,0,388629268,316279507,72349762,200739269,2500,14005000,0,0,18724504,-10176483,-9957985,125,1752506,77.04,6.57,0.58,-0.73,173.03,흑전,1.25,102.47,193.60,0.78,36.65,0.66,14.22,1.25,4.34,0.38,170,14347,94.74,1.12,0.55,11.70,4.08,21.12,13.01,394182302,249698749,144483553,118583511,25900042,3406148,2274880
2014,589243249,343500346,245742903,0,369219165,211435444,157783721,220024084,2500,16613295,0,0,7279098,10822648,-14068836,125,2711021,0,3.21,-0.57,4.72,-48.90,적전,0.77,162.46,167.81,0.87,36.65,0.70,6.29,-1.12,2.25,-0.40,-147,13258,0,1.09,0.56,16.19,2.47,37.65,16.69,412791235,261517590,151273644,138039924,13233720,-3015346,-2356607
2015,613481028,376174401,237306627,0,388074345,260781279,127293066,225406684,2500,18080105,0,0,-4174930,-7346642,14676009,150,2713172,138.33,4.96,0.45,5.22,62.65,흑전,1.51,144.25,172.17,0.41,36.98,0.72,9.66,0.88,3.58,0.33,108,12482,338.58,2.92,1.53,33.50,4.86,45.08,24.64,434352380,273729078,160623302,139098531,21524771,2056633,1961427
2016,651077844,422640946,228436898,0,374764691,257975368,116789323,276313153,2500,20784335,0,0,6738636,-8769871,33825449,250,5194380,0,5.25,-2.34,7.62,14.00,적전,2.03,163.83,135.63,0.47,37.08,0.74,9.78,-4.36,3.88,-1.73,-559,13318,0,3.96,2.20,133.63,-8.96,50.00,28.41,467465121,294121425,173343696,148805765,24537931,7081315,-10933544
2017,630873131,411366934,219506197,0,360096626,274537164,85559461,270776505,2500,21171945,0,0,33450172,-9890915,-27874638,275,5821000,0,4.32,-0.15,7.58,-11.49,적지,2.45,149.84,132.99,0.61,37.51,0.78,7.94,-0.27,3.39,-0.12,-35,12814,0,3.54,1.91,53.32,2.90,48.40,25.95,502918587,314286149,188632438,166914304,21718134,-1348035,-742474
2018,593791187,373910080,219881108,0,333680091,228368447,105311644,260111096,2500,21633387,0,0,52109933,-13918367,-41188514,325,6954776,86.32,4.02,1.50,6.81,-0.62,흑전,2.48,163.73,128.28,0.80,36.68,0.88,8.13,3.04,3.52,1.32,372,12481,109.67,3.27,1.64,34.33,4.36,45.18,24.83,537181974,340141765,197040209,175456126,21584083,10234223,8056889
