구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,947634081,318892189,628741892,0,435009297,322056686,112952611,512624784,5000,2378309,0,0,29577224,-12778137,-12760510,1625,2802259,0,1.52,7.35,102.48,흑전,4.54,99.02,84.86,2.73,26.98,0.97,8.60,2.67,4.73,1.47,10,214057,5896.40,0.28,0.16,6.75,3.41,9.34,6.35,909348930,664036078,245312852,200858848,44454004,26573418,13824872
2017,931120054,287064454,644055600,0,409959736,292243535,117716201,521160318,5000,2335786,0,0,35503362,-12924035,-40375734,625,1063076,0,-0.48,3.00,27.13,적전,2.54,98.23,78.66,1.16,25.01,0.88,4.13,-0.77,2.29,-0.43,-2700,219563,0,0.24,0.15,8.65,15.62,18.05,9.27,847124067,635286168,211837899,189883289,21954609,-835136,-4101891
2016,986880679,340399498,646481181,0,444489915,302643572,141846344,542390763,5000,2294311,0,0,8574040,528061,-8736125,625,1036893,0,0.13,6.24,65.72,흑전,1.93,112.48,81.95,1.04,23.82,0.84,3.17,0.20,1.76,0.11,-1637,228023,0,0.26,0.17,7.27,0.30,24.95,10.79,822414467,626527218,195887249,178618009,17269240,8968443,1088501
2015,978717602,289599805,689117797,0,432100126,287777798,144322328,546617476,5000,2253852,0,0,25667394,-22270016,19465055,625,1011486,0,-0.96,1.24,-25.92,적전,1.28,100.63,79.05,1.01,23.26,0.79,1.88,-1.35,1.06,-0.76,-6546,235095,0,0.26,0.18,14.24,6.63,41.46,12.34,774113876,594053067,180060809,169640099,10420711,-1660637,-7462619
2014,984816252,292678829,692137423,0,424061485,282434868,141626618,560754767,5000,2213747,0,0,5060563,-10655615,13175243,625,1002618,0,0.55,-1.10,-49.82,-71.48,1.66,103.63,75.62,0.85,24.98,0.77,2.49,0.75,1.42,0.43,-2294,246118,0,0.30,0.21,9.10,1.35,31.22,11.85,764599768,573606783,190992985,176925546,14067439,6401007,4214217
2013,994215519,312590170,681625348,0,425676717,295709276,129967440,568538802,5000,2213747,0,0,15730894,-31023758,35218121,1000,1628803,0,1.91,2.77,흑전,흑전,3.85,105.71,74.87,1.99,26.39,0.81,4.96,2.62,2.93,1.54,1928,249943,26.04,0.20,0.14,4.37,2.95,12.13,6.91,773111419,569049234,204062186,176028303,28033883,21599894,14777664
2012,919993876,286965008,633028868,0,358884335,252605830,106278505,561109541,5000,2213747,0,0,23047406,12786841,-32531618,750,1240000,0,-0.70,-3.08,적전,적전,0,113.60,63.96,1.76,23.06,0.79,-0.21,-0.92,-0.13,-0.56,-7516,247452,0,0.17,0.13,19.93,-2.07,0,14.25,752261690,578755604,173506086,174693153,-1187067,-469521,-5288493
2011,976868870,330103837,646765032,0,390465420,278459576,112005843,586403450,5000,2213747,0,0,7878494,-26547404,9429089,1500,2528000,0,2.24,10.18,-21.03,-29.15,3.99,118.55,66.59,3.06,24.11,0.81,4.90,2.96,2.99,1.81,3815,258852,12.84,0.19,0.14,3.83,3.15,4.96,2.93,776168097,589012522,187155575,158375610,28779965,24955571,17392359
2010,947732235,303371090,644361145,0,359911066,243279707,116631360,587821169,5000,2213747,0,0,2550154,-40036333,41653937,2500,4449408,0,3.48,0,0,0,6.21,124.70,61.23,3.85,23.60,0,0,0,0,0,8307,259928,7.82,0.25,0.20,3.95,0,4.73,3.16,704470635,538205330,166265305,129821524,36443782,34125806,24549688
2009,529515271,231722545,297792726,0,215673449,180351293,35322157,313841822,5000,2169377,0,0,31947548,-919012,-20190787,1375,2440391,0,1.55,-1.54,-56.27,13.01,1.07,128.48,68.72,2.95,23.42,0.96,2.51,2.61,1.44,1.50,2401,138627,19.41,0.34,0.19,4.40,1.33,26.71,8.12,520513282,398607578,121905704,114148936,7756767,14732011,8071420
