구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,89835264,53197064,36638201,0,16266428,14155370,2111058,73568836,100,42597062,0,0,54258824,32075921,22182903,19109822,3073082,1896656,3253054,5653139,-11537570,10823168,12,511165,0,6.00,24.46,-68.17,-62.86,13.80,375.81,22.11,0.94,40.88,0.68,5.02,5.31,3.85,4.08,51,995,25.25,1.29,0.95,9.19,13.87,26.34,12.21
2017,69632341,38075522,31556818,0,20779961,16403549,4376412,48852379,100,38572189,0,0,43594756,22917760,20676996,11021108,9655887,9757283,8758048,6449546,-11534691,15046008,10,385722,0,20.09,119.47,248.20,흑전,32.96,232.12,42.54,0.42,47.43,0.89,27.71,25.13,19.75,17.92,162,993,14.73,2.41,1.99,12.17,43.83,9.72,8.61
2016,28133681,25433098,2700583,0,7285445,4397010,2888436,20848236,100,32467795,0,0,19863483,9940429,9923055,7149968,2773087,-1755395,-1911180,381910,-1717627,208010,17,551952,0,-9.62,28.00,-11.30,적전,137.83,578.42,34.95,0.97,49.96,1.00,19.22,-13.25,14.00,-9.65,-59,642,0,2.74,2.88,0,102.56,20.61,17.92
2015,11487936,9562860,1925076,0,3482316,2913088,569228,8005620,100,27247795,0,0,15517770,7478040,8039730,4913385,3126345,2888793,2535798,2734875,-393442,1404131,0,0,0,16.34,60.86,116.28,283.04,20.67,328.27,43.50,0,51.81,1.67,62.57,50.75,33.64,27.28,1087,3431,1.86,0.59,0.30,1.64,124.58,3.37,3.04
2014,7100672,5254686,1845985,0,5112509,1811701,3300808,1988162,500,2000000,0,0,9646643,3874523,5772120,4326598,1445522,205191,662023,1350036,-937953,1967697,0,0,0,6.86,0,0,0,10.61,290.04,257.15,0,59.84,0,0,0,0,0,307,852,6.51,2.35,0.45,2.82,0,7.62,4.77
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
