구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,19136282,7872465,11263817,0,4350107,3097865,1252242,14786175,500,9281520,0,0,6668684,-6109854,398925,18923183,8696828,10226355,3560564,6665790,6770502,5230185,0,0,0,35.23,27.64,75.98,90.63,112.64,206.07,254.13,29.42,0,54.04,1.20,55.66,43.67,42.44,33.30,564,1593,0,0,0,0,61.03,0.00,0.00
2010,28871204,11797724,17073480,0,6178955,5734760,444195,22692249,500,9281520,0,0,10264210,-5848833,0,29877310,13787737,16089573,6061280,10028293,10160439,7776602,0,0,0,33.56,26.03,0,0,0,401.98,205.72,27.23,0,53.85,0,0,0,0,0,838,2445,0,0,0,0,0,0.00,0.00
2011,71245572,48631981,22613591,0,8890539,8465466,425072,62355034,500,12610701,0,0,11031806,-43626022,28726561,43493498,23695314,19798184,6632023,13166161,13868677,10822923,200,2522000,23.29,30.27,24.88,45.57,31.29,39.17,174.28,574.47,14.26,2.53,45.52,0.87,30.96,25.45,26.30,21.62,964,4936,8.19,1.60,2.04,6.09,58.87,7.57,5.90
2012,106403460,63577231,42826229,0,37655021,18067437,19587584,68748439,500,12775360,0,0,13513412,-19644393,7623745,62034002,36887001,25147001,13029826,12117175,13051799,10906767,0,0,0,19.53,17.58,42.63,-7.97,0.77,53.71,351.89,54.77,0,40.54,0.70,18.48,16.64,13.64,12.28,839,5653,9.95,1.48,1.71,6.77,31.02,8.52,6.02
2013,125097900,76995708,48102192,0,38027554,33896063,4131490,87070347,500,12775360,0,0,17419381,-3430792,-554884,89370237,46189296,43180942,30839493,12341448,10526656,8377482,0,0,0,13.81,9.37,44.07,1.85,-23.19,12.91,227.15,43.67,0,48.32,0.77,15.84,10.75,10.66,7.24,640,5783,12.55,1.39,1.15,7.15,22.20,9.38,6.25
2014,132580151,77421832,55158319,0,34556241,31311267,3244974,98023910,500,12775360,0,0,16984116,-8012021,-3907928,114651887,67401857,47250030,30044572,17205459,13126315,11013695,0,0,0,15.01,9.61,28.29,39.41,31.47,18.79,247.27,35.25,0,41.21,0.89,18.59,11.90,13.35,8.55,713,6483,13.16,1.45,1.05,7.62,29.11,7.86,5.67
2015,169539835,102521994,67017841,0,30100018,27340639,2759379,139439817,500,13428695,0,0,16076681,-10089186,20294215,98877190,51582657,47294533,28534788,18759744,14667112,10869065,0,0,0,18.97,10.99,-13.76,9.03,-1.31,38.47,374.98,21.59,0,47.83,0.65,15.80,9.15,12.42,7.20,699,7614,13.76,1.26,1.28,7.97,26.31,9.00,6.63
2016,393379483,110178770,283200713,0,116788273,59832331,56955942,276591210,500,13473695,0,0,40225502,-25686864,-10272909,155410084,89337256,66072828,39469850,26602977,39528207,35617262,0,0,0,17.12,22.92,57.17,41.81,227.69,11.64,184.15,42.22,0,42.52,0.55,12.79,17.12,9.45,12.65,1787,9205,4.77,0.93,0.74,3.39,17.01,10.17,7.44
2017,537109638,144972630,392137008,0,142687719,50202365,92485354,394421919,500,14143106,0,0,32541302,-16145122,5798247,165147265,91087171,74060094,40737956,33322139,44058855,42833960,0,0,0,20.18,25.94,6.27,25.26,20.26,17.60,288.78,36.18,0,44.84,0.35,9.93,12.77,7.16,9.21,2039,10696,4.77,0.91,0.80,3.38,9.78,11.51,8.57
2018,716153058,129020696,587132362,0,251358029,152805331,98552698,464795029,500,22319036,0,0,25297924,-96463091,43652400,192602110,108614097,83988013,49347681,34640332,25923055,67058689,120,2678223,6.40,17.99,34.82,16.62,3.96,56.55,7.12,84.43,54.08,1.60,43.61,0.31,8.06,15.61,5.53,10.70,1874,9257,4.01,0.81,0.87,2.98,6.73,14.02,9.89
