구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,242133579,189771880,52361699,0,147629421,147090271,539150,94504158,500,12835860,0,0,0,0,0,4.26,7.34,19.73,8.44,23.63,2.07,129.02,156.21,0,25.77,0.82,9.05,15.61,3.51,6.05,972,4992,5.25,1.02,0.34,3.23,205.72,12.03,6.18,194251772,144188052,50063719,41793726,8269994,19987508,14258678,16068200,44792815,-21206040
2010,193131536,132418939,60712597,0,124586173,124316133,270041,68545362,500,12835860,0,0,0,0,0,6.32,6.86,0,0,0,10.28,106.52,181.76,0,20.20,0,0,0,0,0,855,5611,9.30,1.42,0.64,8.61,0,10.10,9.28,159852110,127556540,32295569,22189819,10105751,13098271,10971858,46462808,-28984419,-22902064
2011,212848935,146908154,65940781,0,92396828,92017189,379638,120452107,500,25433162,0,0,100,2478000,15.65,7.26,8.73,13.48,30.24,44.27,84.77,159.65,76.71,1.37,22.97,0.89,13.93,16.75,6.48,7.80,1008,4842,7.22,1.50,0.63,6.81,0,14.07,13.12,181404315,139730453,41673862,28512434,13161429,20410868,15829534,-14098175,-25021293,24855892
2012,446584130,356155833,90428297,0,251265094,240535605,10729489,195319036,500,25433162,0,0,125,3103000,12.94,9.85,10.53,70.96,132.16,106.23,32.97,148.07,128.64,1.02,28.10,0.94,19.35,20.68,9.27,9.90,943,5714,13.00,2.14,1.00,11.84,386.45,11.92,11.07,310121909,222970059,87151850,56596271,30555580,41213309,32645580,8297176,-15992940,20294495
2013,525262750,390165266,135097485,0,309926361,240634084,69292276,215336390,500,25433162,0,0,150,3723471,22.06,8.66,5.20,34.07,17.89,-33.78,14.33,162.14,143.93,0.90,25.23,0.86,17.54,10.53,7.41,4.45,664,6260,25.01,2.65,1.02,21.44,32.57,13.35,12.39,415769259,310875514,104893745,68871664,36022081,30177076,21616396,35022222,-22250401,37069992
2014,562283661,426590673,135692987,0,327480383,309037796,18442588,234803277,500,25751621,0,0,200,4930833,27.80,7.26,4.69,31.75,10.42,18.85,11.86,138.04,139.47,1.12,20.73,1.01,17.67,11.41,7.31,4.72,695,6930,25.75,2.58,0.83,20.91,22.96,13.23,12.00,547791153,434209905,113581248,73805293,39775954,35829549,25691380,-45594360,-73644957,23233613
2015,611193637,445952402,165241235,0,386146371,313294489,72851882,225047266,500,26580081,0,0,200,4968026,0,2.87,0.48,27.21,-49.71,-86.91,7.45,142.34,171.58,1.22,15.68,1.19,8.70,1.46,3.41,0.57,-33,6805,0,2.40,0.62,78.95,2.31,28.93,21.94,696865682,587575149,109290532,89287829,20002703,14692276,3364111,-70739842,25196148,20608040
2016,735955030,505980848,229974182,0,478506180,374794695,103711484,257448850,500,26580081,0,0,250,6573534,81.24,10.22,2.84,-31.40,144.23,303.61,18.90,135.00,185.86,2.07,27.39,0.71,20.25,5.63,7.25,2.02,304,6808,39.75,1.78,0.67,20.23,17.32,9.53,8.21,478072161,347124297,130947864,82095631,48852233,42463521,13578015,65823384,-59227559,49481542
2017,926244871,560368883,365875988,0,616540246,589887925,26652321,309704625,500,27883006,0,0,250,6899265,0,7.21,0.40,58.65,11.92,-77.71,18.36,95.00,199.07,1.33,30.80,0.91,19.28,1.07,6.58,0.36,-14,6850,0,2.74,0.66,27.94,24.15,11.44,8.57,758453344,524860011,233593333,178916536,54676797,45977680,3026893,174767832,-69201535,-27029170
2018,932316574,540055752,392260824,0,593991340,513306771,80684569,338325234,500,27904434,0,0,300,8285546,23.51,6.54,4.31,21.91,10.51,1217.35,22.07,105.21,175.57,1.95,35.83,0.99,18.65,12.31,6.50,4.29,1263,7787,12.19,1.98,0.46,7.71,25.44,9.50,7.10,924624291,593309624,331314668,270889146,60425521,51173353,39874884,40858527,-13312714,-14543074
