구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,60335138,25138635,35196503,0,8586831,8586831,0,51748308,500,34895243,0,0,5051582,-329312,-2408429,0,0,0,-0.63,-10.44,적전,적전,0,292.76,16.59,0,1.70,0.89,-1.76,-0.68,-1.46,-0.56,-10,1506,0,1.05,0.98,49.81,-1.50,0,101.78,56301480,55344975,956505,1876523,-920018,-541970,-354808
2017,66101002,29995395,36105608,0,13489458,11239458,2250000,52611544,500,34895243,0,0,239246,-3251231,155044,15,508429,0,2.28,22.16,466.79,271.36,17.57,266.88,25.64,1.33,5.03,0.95,2.73,2.78,2.14,2.17,41,1531,27.38,0.74,0.62,13.77,2.97,27.96,13.96,62861661,59698131,3163530,1753168,1410362,1646078,1431624
2016,65670915,29575531,36095383,0,15112874,11692874,3420000,50558041,500,34237349,0,0,-3296247,-498703,1500000,0,0,0,0.75,28.30,흑전,흑전,3.40,252.94,29.89,0,3.62,0.80,0.50,0.77,0.38,0.60,11,1500,191.32,1.46,1.43,42.65,0.62,302.01,47.18,51456556,49594430,1862126,1613291,248835,412684,385503
2015,63713392,27918404,35794988,0,14740854,12570854,2170000,48972537,500,32921561,0,0,647455,-1747715,2215584,0,0,0,-1.33,-22.11,적전,적전,0,222.09,30.10,0,1.23,0.65,-2.16,-1.11,-1.69,-0.87,-17,1512,0,1.63,1.91,86.40,-1.99,0,214.03,40107647,39614548,493099,1532380,-1039280,-795649,-533927
2014,58995756,22615829,36379927,0,11754876,7438655,4316221,47240880,500,29961037,0,0,3236205,364719,-4938911,15,434416,0,0.77,-7.70,19.12,-58.51,5.13,304.03,24.88,1.50,5.84,0.84,3.39,0.85,2.60,0.65,13,1604,75.11,0.62,0.58,16.79,3.48,18.86,10.11,51491847,48486069,3005778,1418477,1587301,516150,395531
2013,63108054,25059260,38048794,0,16762705,12262531,4500174,46345349,500,29412792,0,0,6008427,-298265,-274770,0,0,0,1.71,27.43,흑전,-80.27,2.35,204.36,36.17,0,4.95,0.90,2.89,2.07,2.16,1.55,32,1603,30.51,0.62,0.52,12.97,3.02,21.83,11.09,55789778,53028778,2761000,1428432,1332568,1147250,953338
2012,60197670,21149484,39048186,0,14237403,6229917,8007486,45960267,500,29412792,0,0,-7365050,9456019,4211441,20,568000,0,11.04,2.85,적지,흑전,0,339.48,30.98,2.23,1.13,0.72,-3.79,12.28,-2.46,7.97,167,1590,5.37,0.56,0.59,4.24,-3.57,0,0,43781593,43286767,494826,1985430,-1490604,5824691,4832440
2011,61022765,25252313,35770451,0,28289760,16858375,11431385,32733005,500,20412792,0,0,2359273,-18568769,10469404,0,0,0,-4.12,1.50,적전,적전,0,149.79,86.43,0,-0.74,0.79,-7.78,-5.18,-4.89,-3.25,-86,1643,0,0.90,0.71,0,-7.00,0,0,42569848,42885119,-315271,2316855,-2632126,-2623280,-1752706
2010,46688416,22944450,23743966,0,11717386,10064831,1652556,34971030,500,20412792,0,0,3063526,3711787,-3125000,25,485320,0,18.92,0,0,0,26.01,227.97,33.51,2.12,8.79,0,0,0,0,0,389,1753,3.04,0.67,0.57,2.89,0,10.74,9.12,41942761,38256667,3686094,1443390,2242704,10084946,7933714
2009,37308732,19294497,18014235,0,10631546,9000609,1630937,26677186,500,20412792,0,0,4272990,-3940764,-1916410,0,0,0,0.45,31.89,적지,흑전,0,214.37,39.85,0,3.31,1.22,-1.24,0.78,-0.88,0.55,10,1346,78.74,0.59,0.36,21.73,-1.04,0,75.91,45629599,44117129,1512470,1841413,-328943,257726,207403
