구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,2048683967,605138952,1443545015,0,767413047,455741617,311671429,1281270920,5000,1842040,0,0,1706905405,1527488971,179416433,105432070,73984363,207331790,160323086,138859518,-130169436,-43892922,2500,4252710,2.96,4.33,9.39,0.25,6.04,11.65,5.06,132.78,59.89,0.44,10.51,0.87,6.20,13.44,3.79,8.21,78074,597960,7.29,0.95,0.61,4.03,7.79,18.37,7.13
2010,2299259309,424332576,1874926733,0,587190440,275617914,311572525,1712068870,5000,1842040,0,0,1196348102,1083289078,113059024,46473979,66585045,273742725,226344383,101375715,-129862070,40555475,2500,4300335,1.90,5.57,18.92,0,0,0,22.93,153.96,34.30,0.29,9.45,0,0,0,0,0,122877,938921,6.97,0.91,1.32,5.49,0,23.73,12.38
2011,2622323750,463764125,2158559625,0,704280087,316641305,387638782,1918043663,5000,1842040,0,0,1397118394,1274184690,122933704,45216826,77716878,303866945,231970488,77837575,-101467085,32484583,8750,15051000,6.49,5.56,16.60,16.78,16.72,2.49,22.17,146.46,36.72,0.79,8.80,0.57,4.28,12.78,3.16,9.43,125931,1050740,8.82,1.06,1.46,6.91,21.27,27.14,14.87
2012,4055468293,1150724643,2904743650,0,1528608525,941399994,587208532,2526859768,5000,1842040,0,0,3062753138,2708453970,354299168,90995183,263303985,436914803,335105263,331781613,-498805120,90544751,7500,12901000,4.37,8.60,10.94,119.22,238.80,44.46,17.39,122.24,60.49,0.67,11.57,0.92,11.85,15.08,7.89,10.04,160228,1183432,6.96,0.94,0.67,4.33,26.87,10.44,6.21
2013,3939385519,922817211,3016568308,0,1122911830,590723103,532188727,2816473689,5000,1842040,0,0,3273760331,3011612723,262147608,104622971,157524638,291293484,234426916,340919631,-173893636,-163452140,7500,12901005,5.99,4.81,7.16,6.89,-40.17,-30.04,10.20,156.22,39.87,0.59,8.01,0.82,5.90,8.77,3.94,5.86,116826,1286358,10.85,0.98,0.71,5.14,10.45,18.67,7.41
2014,3895357159,867411687,3027945473,0,983114674,488364517,494750157,2912242486,5000,1842040,0,0,2796468604,2697570157,98898447,128136239,-29237792,115408578,100584988,212656677,-166446694,-11282326,7500,12901005,10.07,-1.05,3.60,-14.58,적전,-57.09,0,177.62,33.76,0.61,3.54,0.71,-1.02,3.51,-0.75,2.57,69540,1352695,17.80,0.92,0.82,6.13,-2.14,0,13.09
2015,3987888361,988793393,2999094968,0,984446438,489923529,494522909,3003441922,5000,1842040,0,0,2615383130,2503809713,111573417,117095720,-5522303,114650524,89940121,210132886,-129057132,-33955433,9750,16771306,13.01,-0.21,3.44,-6.48,적지,-10.58,0,201.83,32.78,0.89,4.27,0.66,-0.19,3.04,-0.14,2.28,69989,1424207,15.67,0.77,0.77,5.65,-0.40,0,10.96
2016,4134902349,1097366088,3037536261,0,992592213,508220295,484371918,3142310136,5000,1842040,0,0,2654083285,2548135588,105947698,110098099,-4150401,171511840,127379031,79355359,12578636,-53379274,10000,17201340,10.60,-0.16,4.80,1.48,적지,41.63,0,215.92,31.59,0.94,3.99,0.65,-0.14,4.15,-0.10,3.14,88137,1501665,12.07,0.71,0.74,5.89,-0.31,0,14.33
2017,4803738859,1464265662,3339473197,0,1334228010,787959776,546268234,3469510849,5000,1842040,0,0,3724854999,3440151906,284703093,125277955,159425137,334643989,272291255,183789100,-378598021,180890914,10000,17201340,7.03,4.28,7.31,40.34,흑전,113.76,17.21,185.83,38.46,0.93,7.64,0.83,4.82,8.24,3.57,6.09,132786,1619552,8.09,0.66,0.53,5.01,11.44,15.57,8.00
2018,4721553263,1375051138,3346502125,0,1214182394,709998045,504184348,3507370869,5000,1842040,0,0,2971432405,2963560834,7871571,116790150,-108918579,66698730,46236892,119029754,-175709528,55017239,10000,17201340,15.54,-3.67,1.56,-20.23,적전,-83.02,0,193.67,34.62,1.34,0.26,0.62,-3.12,1.33,-2.29,0.97,60108,1660486,12.39,0.45,0.46,4.82,-6.39,0,28.33
