구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,169114745,64021137,105093609,0,72906295,72806295,100000,96208450,500,108706009,0,0,63870939,54155866,9715073,8431841,1283232,-15295633,-15351903,-21533419,-55398463,79990146,0,0,0,-24.04,8.54,1194.76,적지,0.34,87.93,75.78,0,15.21,0.46,1.44,-17.24,0.92,-10.96,-185,838,0,2.11,2.32,0,2.99,115.82,66.66
2017,111076858,42432567,68644291,0,29174935,27702998,1471937,81901923,500,64839923,0,0,58844075,50334749,8509326,8410217,99110,-12831513,-13339849,646502,-7988611,-908242,0,0,0,-22.67,-44.44,-98.72,적전,0.03,153.17,35.62,0,14.46,0.50,0.13,-17.31,0.08,-11.34,-206,1258,0,1.11,1.54,0,0.19,919.03,90.30
2016,124196884,50834894,73361990,0,51939452,49891163,2048290,72257432,500,49486787,0,0,105907923,90104613,15803310,8075548,7727762,5559079,4883169,6732767,2766029,-4590613,0,0,0,4.61,326.32,흑전,흑전,1.40,101.89,71.88,0,14.92,0.89,11.33,7.16,6.48,4.10,98,1448,19.76,1.34,0.91,16.92,12.14,12.53,11.33
2015,114146608,55181542,58965066,0,49979477,48573592,1405885,64167131,500,49263122,0,0,24842314,24448054,394261,2734410,-2340149,-613353,-614223,-2164749,-73963421,77998544,0,0,0,-2.47,-2.87,적지,적지,0,113.60,77.89,0,1.59,0.35,-5.46,-1.43,-3.32,-0.87,-18,1291,0,2.86,5.21,0,-6.63,0,0
2014,26896001,13000962,13895039,0,5278604,5278604,0,21617397,500,25612180,0,0,25576121,25089854,486268,2628433,-2142166,-2028805,-2029633,-4347919,107505,2939696,0,0,0,-7.94,12.94,적지,적지,0,246.30,24.42,0,1.90,0.98,-9.48,-8.98,-8.24,-7.80,-79,831,0,2.88,2.39,0,-15.30,0,0
2013,25121960,15512065,9609895,0,1527001,1527000,0,23594959,500,25612180,0,0,22644891,21210528,1434363,3317947,-1883583,-2061734,-2364551,22166,968548,0,0,0,0,-10.44,-22.74,적전,적전,0,1015.85,6.47,0,6.33,0.85,-7.57,-9.50,-7.10,-8.92,-92,908,0,1.32,1.36,0,-14.06,0,0
2012,27916272,16290438,11625834,0,1717780,1717780,0,26198491,500,25612180,0,0,29311354,24712378,4598976,3025426,1573550,1609396,1483681,-444579,-1579090,0,0,0,0,5.06,60.55,138.92,86.32,72.22,948.34,6.56,0,15.69,1.02,6.18,5.82,5.49,5.18,57,1006,33.92,1.94,1.70,29.15,11.83,32.01,27.77
2011,29416979,17548167,11868811,0,4659799,4659799,0,24757179,500,25612180,0,0,18256808,14205231,4051577,3392960,658618,799173,796309,-5222908,-966424,5789075,0,0,0,4.36,9.28,흑전,흑전,28.58,376.59,18.82,0,22.19,0.73,3.03,3.66,2.65,3.20,31,947,63.91,2.11,2.75,57.01,7.29,78.53,68.62
2010,20336292,12514431,7821861,0,1629399,1626265,3134,18706893,500,23149125,0,0,16706647,16056245,650402,3159344,-2508942,-11638335,-11650135,-2333621,2270120,3358860,0,0,0,-69.73,0,0,0,0,769.52,8.71,0,3.89,0,0,0,0,0,-857,788,0,2.00,1.28,0,0,0,0
2009,28396487,7648219,20748268,0,18398832,18395698,3134,9997654,500,72748512,0,0,15959766,17699564,-1739798,2909720,-4649517,-9501544,-9501544,-881244,288714,-705545,0,0,0,-59.53,-27.48,적전,적지,0,41.58,184.03,0,-10.90,0.47,-31.75,-64.89,-13.82,-28.25,-131,137,0,1.78,1.12,0,-24.37,0,0
